video_series,segment_id,series_idx,series_label,event_idx,event_label,full_label
DC13112018-B,2490_0,1,V1,1,E1,V1E1
DC13112018-B,2820_0,1,V1,2,E2,V1E2
DC13112018-B,4860_0,1,V1,3,E3,V1E3
DC15102018-B,1260_0,2,V2,1,E1,V2E1
DC15102018-B,300_0,2,V2,2,E2,V2E2
DC15102018-B,4380_0,2,V2,3,E3,V2E3
DC15102018-B,5340_0,2,V2,4,E4,V2E4
DC15102018-B,5490_0,2,V2,5,E5,V2E5
DC15102018-B,5550_0,2,V2,6,E6,V2E6
DC20190403_B,2580_0,3,V3,1,E1,V3E1
DC20190403_B,450_0,3,V3,2,E2,V3E2
DC20190403_B,810_0,3,V3,3,E3,V3E3
DC27092018_B,2040_0,4,V4,1,E1,V4E1
DC27092018_B,3210_0,4,V4,2,E2,V4E2
DC27092018_B,3690_0,4,V4,3,E3,V4E3
DC27092018_B,5010_0,4,V4,4,E4,V4E4
DC27092018_B,5790_0,4,V4,5,E5,V4E5
DC27092018_B,630_0,4,V4,6,E6,V4E6
HS02062018-A,1230_0,5,V5,1,E1,V5E1
HS02062018-A,690_0,5,V5,2,E2,V5E2
HS02062018-backupc,3690_0,6,V6,1,E1,V6E1
HS02062018-backupc,3840_0,6,V6,2,E2,V6E2
HS02062018-backupc,4320_0,6,V6,3,E3,V6E3
HS02062018-backupc,4320_1,6,V6,4,E4,V6E4
HS02062018-backupc,4320_2,6,V6,5,E5,V6E5
HS02062018-backupc,4770_0,6,V6,6,E6,V6E6
HS02062018-backupc,4860_0,6,V6,7,E7,V6E7
HS04062019-B,1075_0,7,V7,1,E1,V7E1
HS04062019-B,1100_0,7,V7,2,E2,V7E2
HS04062019-B,1375_0,7,V7,3,E3,V7E3
HS04062019-B,1600_0,7,V7,4,E4,V7E4
HS04062019-B,1700_0,7,V7,5,E5,V7E5
HS04062019-B,2050_0,7,V7,6,E6,V7E6
HS04062019-B,4775_0,7,V7,7,E7,V7E7
HS04062019-B,5425_0,7,V7,8,E8,V7E8
HS04062019-B,7700_0,7,V7,9,E9,V7E9
HS04062019-B,7750_0,7,V7,10,E10,V7E10
HS04062019-B,825_0,7,V7,11,E11,V7E11
HS04062019-B,825_1,7,V7,12,E12,V7E12
HS04062019-B,950_0,7,V7,13,E13,V7E13
HS05062018-backupc,3930_0,8,V8,1,E1,V8E1
HS05062018-backupc,4020_0,8,V8,2,E2,V8E2
HS05062018-backupc,4260_0,8,V8,3,E3,V8E3
HS05062018-backupc,4440_0,8,V8,4,E4,V8E4
HS05062018-backupc,4590_0,8,V8,5,E5,V8E5
HS05062018-backupc,4650_0,8,V8,6,E6,V8E6
HS05062019A,1400_0,9,V9,1,E1,V9E1
HS05062019A,1400_1,9,V9,2,E2,V9E2
HS05062019A,1400_2,9,V9,3,E3,V9E3
HS05062019A,2450_0,9,V9,4,E4,V9E4
HS05062019A,375_0,9,V9,5,E5,V9E5
HS05062019A,4150_0,9,V9,6,E6,V9E6
HS05062019A,5100_0,9,V9,7,E7,V9E7
HS05062019A,7075_0,9,V9,8,E8,V9E8
HS05062019A,7950_0,9,V9,9,E9,V9E9
HS05062019A,7950_1,9,V9,10,E10,V9E10
HS05062019A,7950_2,9,V9,11,E11,V9E11
HS05062019A,8025_0,9,V9,12,E12,V9E12
HS05062019A,8025_1,9,V9,13,E13,V9E13
HS05062019A,8075_0,9,V9,14,E14,V9E14
HS05062019A,8075_1,9,V9,15,E15,V9E15
RCE14012019-B,1470_0,10,V10,1,E1,V10E1
RCE14012019-B,2460_0,10,V10,2,E2,V10E2
RCE14012019-B,2970_0,10,V10,3,E3,V10E3
RCE14012019-B,3510_0,10,V10,4,E4,V10E4
RCE14012019-B,3600_0,10,V10,5,E5,V10E5
RCE14012019-B,4170_0,10,V10,6,E6,V10E6
RCE14012019-B,4470_0,10,V10,7,E7,V10E7
RCE14012019-B,4830_0,10,V10,8,E8,V10E8
RCE14012019-B,5040_0,10,V10,9,E9,V10E9
RCE21072018-A,450_0,11,V11,1,E1,V11E1
RCE21072018-A,7380_0,11,V11,2,E2,V11E2
RCE21072018-A,8190_0,11,V11,3,E3,V11E3
RCE21072018-A,90_0,11,V11,4,E4,V11E4
RCE21072018-A,9750_0,11,V11,5,E5,V11E5
RCE21072018-B,0_0,12,V12,1,E1,V12E1
RCE21072018-B,1020_0,12,V12,2,E2,V12E2
RCE21072018-B,1860_0,12,V12,3,E3,V12E3
RCE21072018-B,2340_0,12,V12,4,E4,V12E4
RCE21072018-B,3540_0,12,V12,5,E5,V12E5
RCE21072018-B,510_0,12,V12,6,E6,V12E6
RCE21072018-B,5310_0,12,V12,7,E7,V12E7
RCE21072018-B,60_0,12,V12,8,E8,V12E8
RCE28082018-A,0_0,13,V13,1,E1,V13E1
RCE28082018-A,2700_0,13,V13,2,E2,V13E2
RCE28082018-A,5250_0,13,V13,3,E3,V13E3
RCE28082018-A,5490_0,13,V13,4,E4,V13E4
RCE28082018-A,600_0,13,V13,5,E5,V13E5
RCE28082018-A,8040_0,13,V13,6,E6,V13E6
SC01032019-A,2880_0,14,V14,1,E1,V14E1
SC01032019-A,3480_0,14,V14,2,E2,V14E2
SC01032019-A,5460_0,14,V14,3,E3,V14E3
SC11062018-B,4710_0,15,V15,1,E1,V15E1
SC11062018-B,8340_0,15,V15,2,E2,V15E2
SC11062018-B,8340_1,15,V15,3,E3,V15E3
SC11062018-B,8640_0,15,V15,4,E4,V15E4
SC11062018-C,1050_0,16,V16,1,E1,V16E1
SC11062018-C,1320_0,16,V16,2,E2,V16E2
SC11062018-C,3690_0,16,V16,3,E3,V16E3
SC14052019-B,4125_0,17,V17,1,E1,V17E1
SC14052019-B,6450_0,17,V17,2,E2,V17E2
